author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/307430095/;Москва;sale;flat;5;8;4;173.9;260400000;-1;-1;-1;-1;-1;-1;29,8 м²;+79153701347;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/304330046/;Москва;sale;flat;5;8;4;173.9;260400000;-1;-1;-1;-1;-1;-1;29,8 м²;+79057173890;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/295316053/;Москва;sale;flat;3;6;4;158.0;280000000;-1;-1;-1;-1;-1;100 м²;20 м²;+79854621515;Хамовники;Пожарский переулок;5А;Кропоткинская;Villa Grace
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/308691861/;Москва;sale;flat;5;12;4;136.9;280000000;-1;-1;-1;-1;-1;73 м²;20,3 м²;+79660638468;Хамовники; Усачева;13;Спортивная;Садовые кварталы
;;https://www.cian.ru/sale/flat/285925030/;Москва;sale;flat;4;9;4;147.4;281209720;2023;-1;-1;-1;-1;-1;-1;+79060437399;Хамовники;2-й Неопалимовский переулок;3;Парк Культуры;Клубный особняк High Garden
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/304330269/;Москва;sale;flat;11;11;4;303.0;521994779;-1;-1;-1;-1;-1;-1;23,9 м²;+79858704059;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/288723231/;Москва;sale;flat;8;9;4;247.3;666993329;2023;-1;-1;-1;-1;-1;-1;+79150128502;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
