author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/305737540/;Москва;sale;flat;4;6;5;185.0;147000000;1830;-1;-1;-1;-1;-1;18 м²;+79660513744;Хамовники;переулок Плотников;3;Смоленская;
Level Group;developer;https://www.cian.ru/sale/flat/308683230/;Москва;sale;flat;13;13;5;111.7;70369150;2025;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;46,8 м²;45,6 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303459029/;Москва;sale;flat;2;6;5;238.3;262130000;2019;-1;-1;-1;-1;203,7 м²;20 м²;+79660728331;Раменки;Минская ;2Вк3;Минская;Снегири Эко
МЕЗОН;real_estate_agent;https://www.cian.ru/sale/flat/308025333/;Москва;sale;flat;11;12;5;181.8;190000000;1969;-1;-1;-1;-1;-1;13,2 м²;+79851825136;Хамовники;переулок Хользунова;6;Фрунзенская;
