author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308556938/;Москва;sale;flat;2;24;3;60.1;25700000;2018;-1;-1;-1;-1;-1;16,4 м²;+79645659551;Хорошево-Мневники;проспект Маршала Жукова;37К2;Народное Ополчение;Wellton park
Макспол Парк Культуры;real_estate_agent;https://www.cian.ru/sale/flat/306562013/;Москва;sale;flat;8;22;3;73.3;26000000;2022;-1;-1;-1;-1;45 м²;13,1 м²;+79646327476;Покровское-Стрешнево;Волоколамское шоссе;71/22к1;Спартак;Апарт-комплекс Движение.Тушино
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/307393492/;Москва;sale;flat;3;17;3;70.0;30000000;2006;-1;-1;-1;-1;45 м²;8 м²;+79645669322;Ломоносовский; Гарибальди;5к1;Новаторская;
