author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Prime;real_estate_agent;https://www.cian.ru/sale/flat/305869279/;Москва;sale;flat;14;34;3;84.7;72000000;-1;-1;-1;-1;-1;-1;10 м²;+79660644026;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306439668/;Москва;sale;flat;6;19;3;106.0;75000000;-1;-1;-1;-1;-1;53 м²;15 м²;+79660644148;Раменки;Ломоносовский проспект;25к5;Университет;Dominion
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302552929/;Москва;sale;flat;2;7;3;89.9;80000000;-1;-1;-1;-1;-1;55 м²;8 м²;+79670580817;Пресненский;Большой Козихинский переулок;19/6;Пушкинская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306666243/;Москва;sale;flat;2;19;3;90.0;87000000;-1;-1;-1;-1;-1;55 м²;15 м²;+79164691158;Раменки;Ломоносовский проспект;25к5;Университет;Dominion
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306639536/;Москва;sale;flat;8;8;4;201.2;110000000;2001;-1;-1;-1;-1;140 м²;20 м²;+79858655936;Тверской;Сущевская ;31;Менделеевская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305051855/;Москва;sale;flat;6;7;3;100.0;119000000;-1;-1;-1;-1;-1;60 м²;15 м²;+79161938368;Арбат;1-й Смоленский переулок;21;Смоленская;Smolensky De Luxe
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/302136723/;Москва;sale;flat;22;24;3;110.0;80000000;2017;-1;-1;-1;-1;75 м²;15 м²;+79645669743;Филевский парк;Береговой проезд;5Ак1;Фили;Фили Град
