author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306737804/;Москва;sale;flat;14;17;5;122.0;28907290;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;69,9 м²;26 м²;+74951379021;;;25.7;Бунинская аллея;Скандинавия ЖК
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305920240/;Москва;sale;flat;4;6;5;222.8;245080000;-1;-1;-1;-1;-1;-1;20 м²;+79165760980;Раменки;Минская ;2Вк3;Минская;Снегири Эко
AB Development;developer;https://www.cian.ru/sale/flat/285385916/;Москва;sale;flat;10;12;5;211.0;273949000;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;-1;-1;+74951387072;Раменки;Мосфильмовская ;1к9;Ломоносовский проспект;Вишневый сад
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307133036/;Москва;sale;flat;20;20;5;184.08;99400000;2024;-1;-1;-1;Чистовая;100,9 м²;12,8 м²;+79636622623;Даниловский;Автозаводская ;26;Тульская;FORST
ANT Development;developer;https://www.cian.ru/sale/flat/303519385/;Москва;sale;flat;12;13;5;266.4;429573037;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к2;Парк Победы;Виктори Парк Резиденсез ЖК
Максим Вахонин;realtor;https://www.cian.ru/sale/flat/301025846/;Москва;sale;flat;4;6;5;216.0;300400000;2023;-1;-1;-1;-1;-1;-1;+79647994177;Якиманка;Софийская набережная;18;Боровицкая;Золотой, жилой квартал
ФСК;developer;https://www.cian.ru/sale/flat/291512062/;Москва;sale;flat;46;47;5;180.7;151110375;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;105,9 м²;12,2 м²;+74951387154;Обручевский;;;Калужская;Архитектор ЖК
