author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
TWEED;real_estate_agent;https://www.cian.ru/sale/flat/308995002/;Москва;sale;flat;3;5;5;190.0;89000000;1929;-1;-1;-1;-1;-1;-1;+79067951708;Тверской; Большая Дмитровка;20С2;Пушкинская;
Дворянское гнездо;real_estate_agent;https://www.cian.ru/sale/flat/284851234/;Москва;sale;flat;2;5;5;170.0;90000000;2016;-1;-1;-1;-1;-1;-1;+79151934770;Басманный;Нижняя Красносельская ;35С7;Бауманская;TriBeCa APARTMENTS
Happy New Home;real_estate_agent;https://www.cian.ru/sale/flat/306348490/;Москва;sale;flat;3;43;5;179.0;90000000;-1;-1;-1;-1;-1;-1;14 м²;+79057158810;Раменки;Мосфильмовская ;70к2;Ломоносовский проспект;Воробьевы Горы
