author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/297161817/;Москва;sale;flat;5;7;5;204.4;290970240;2016;-1;-1;-1;-1;130 м²;25 м²;+79855712717;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Eightmix Property;real_estate_agent;https://www.cian.ru/sale/flat/297535440/;Москва;sale;flat;60;75;5;230.0;289253198;2010;-1;-1;-1;-1;-1;-1;+79660272116;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
TOP BROKER estate;real_estate_agent;https://www.cian.ru/sale/flat/307127467/;Москва;sale;flat;62;65;5;320.0;290220600;2009;-1;-1;-1;-1;280 м²;-1;+79660629294;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
