author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Владис;real_estate_agent;https://www.cian.ru/sale/flat/297440984/;Москва;sale;flat;1;3;5;238.0;245000000;2015;-1;-1;-1;-1;162,9 м²;15,4 м²;+79031123892;Хорошевский;проезд Аэропорта;8С10;Аэропорт;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309084565/;Москва;sale;flat;10;10;5;212.0;249900000;2002;-1;-1;-1;-1;105,3 м²;20,8 м²;+79859622661;Тверской;Страстной бульвар;10к1;Пушкинская;Особняк в Зачатьевском переулке
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/308109200/;Москва;sale;flat;2;7;5;162.0;265500000;-1;-1;-1;-1;-1;-1;15 м²;+79801448166;Арбат; Малая Молчановка;8;Арбатская;
