author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Архитектура Счастья;real_estate_agent;https://www.cian.ru/sale/flat/308055880/;Москва;sale;flat;6;9;4;149.0;152800000;2019;-1;-1;-1;-1;82 м²;38 м²;+79660532180;Раменки;Мосфильмовская ;1к6;Ломоносовский проспект;Вишневый сад
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/308939529/;Москва;sale;flat;4;6;3;153.0;175000000;2002;-1;-1;-1;-1;-1;23 м²;+79639769503;Хамовники;1-й Зачатьевский переулок;6С1;Кропоткинская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298717136/;Москва;sale;flat;9;18;4;165.9;187380179;-1;-1;-1;-1;-1;-1;-1;+79852895270;Пресненский;2-я Звенигородская ;11;Улица 1905 года;Резиденция МОНЭ
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/306945052/;Москва;sale;flat;9;18;4;170.0;187380179;2016;-1;-1;-1;-1;-1;23 м²;+79639769503;Пресненский;2-я Звенигородская ;11;Улица 1905 года;Резиденция МОНЭ
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299654561/;Москва;sale;flat;5;6;3;160.0;197000000;2017;-1;-1;-1;-1;-1;-1;+79660583688;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
УЮТ;real_estate_agent;https://www.cian.ru/sale/flat/308355750/;Москва;sale;flat;6;9;3;56.9;12100000;-1;-1;-1;-1;-1;37,7 м²;6,1 м²;+79150737900;Вешняки; Молдагуловой;10К4;Вешняки;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/305856830/;Москва;sale;flat;9;9;3;60.0;12400000;1980;-1;-1;-1;-1;34,8 м²;6 м²;+79672089940;Марьино;Подольская ;9;Перерва;
