author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306662757/;Москва;sale;flat;5;13;5;136.62;105000000;2023;-1;-1;-1;-1;100 м²;20 м²;+79645665925;Раменки;Минская ;1ГК6;Минская;Собрание клубных домов West Garden
Smolenka Estate;real_estate_agent;https://www.cian.ru/sale/flat/307109271/;Москва;sale;flat;4;5;5;215.0;71000000;2000;-1;-1;-1;-1;150,9 м²;15 м²;+79660577490;Лианозово;Угличская ;15К1;Лианозово;
А101;developer;https://www.cian.ru/sale/flat/306745126/;Москва;sale;flat;5;10;5;94.8;16395565;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;46 м²;23,1 м²;+74951375220;;;3.3;Толстопальцево;Родные кварталы ЖК
