author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/308939529/;Москва;sale;flat;4;6;3;153.0;175000000;2002;-1;-1;-1;-1;-1;23 м²;+79639769503;Хамовники;1-й Зачатьевский переулок;6С1;Кропоткинская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298717136/;Москва;sale;flat;9;18;4;165.9;187380179;-1;-1;-1;-1;-1;-1;-1;+79852895270;Пресненский;2-я Звенигородская ;11;Улица 1905 года;Резиденция МОНЭ
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/306945052/;Москва;sale;flat;9;18;4;170.0;187380179;2016;-1;-1;-1;-1;-1;23 м²;+79639769503;Пресненский;2-я Звенигородская ;11;Улица 1905 года;Резиденция МОНЭ
