author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/sale/flat/296833235/;Москва;sale;flat;22;23;3;163.0;56000000;1999;-1;-1;-1;-1;-1;-1;+79167690757;Проспект Вернадского;Ленинский проспект;116К1;Новаторская;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/308761005/;Москва;sale;flat;5;28;4;158.0;57000000;-1;-1;-1;-1;-1;93,5 м²;25 м²;+79686132953;Можайский;Можайское шоссе;36;Рабочий посёлок;
RND;real_estate_agent;https://www.cian.ru/sale/flat/306496015/;Москва;sale;flat;4;14;4;89.2;57000000;2023;-1;-1;-1;-1;38,2 м²;22,9 м²;+79670309706;Раменки;проспект Генерала Дорохова;39к2М;Минская;Собрание клубных домов West Garden
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/303584027/;Москва;sale;flat;2;13;3;120.0;160000000;2017;-1;-1;-1;-1;-1;12 м²;+79639769503;Пресненский;2-я Черногрязская ;6к2;Улица 1905 года;RedSide
