author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 13953021;homeowner;https://www.cian.ru/sale/flat/308592423/;Москва;sale;flat;6;17;5;112.0;43000000;2001;-1;-1;-1;-1;58 м²;16 м²;+79096269139;Черемушки;Новочеремушкинская ;49К1;Профсоюзная;
Tekta Group;developer;https://www.cian.ru/sale/flat/301425661/;Москва;sale;flat;33;34;5;108.3;45096120;2026;-1;Монолитно-кирпичный;-1;Без отделки;73,9 м²;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/300379704/;Москва;sale;flat;2;5;5;141.2;116000000;1900;-1;-1;-1;-1;-1;10 м²;+79152336978;Мещанский;Последний переулок;5С1;Сухаревская;
ДомДау;developer;https://www.cian.ru/sale/flat/302035458/;Москва;sale;flat;50;85;5;218.51;;2027;-1;Монолитный;-1;Черновая;-1;-1;+74951379093;Пресненский;Московский международный деловой центр Москва-Сити тер.;;;Дом Дау
