author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/299069099/;Москва;sale;flat;3;3;5;326.0;359000000;2021;-1;-1;-1;-1;270 м²;30 м²;+79854770886;Тверской;Долгоруковская ;23А;Новослободская;Cameo Moscow Villas
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309001710/;Москва;sale;flat;18;21;5;231.5;359900000;2023;-1;-1;-1;Чистовая;150 м²;20 м²;+79169550074;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/300659178/;Москва;sale;flat;3;5;5;214.2;362854800;-1;-1;-1;-1;-1;171 м²;-1;+79099163189;Тверской;Газетный переулок;13С1;Охотный ряд;
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294873270/;Москва;sale;flat;2;10;5;250.0;363229271;2007;-1;-1;-1;-1;-1;-1;+79647820771;Хамовники;3-я Фрунзенская ;5к1;Фрунзенская;Спорт Хаус
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/299940182/;Москва;sale;flat;13;13;5;272.2;365631581;2017;-1;-1;-1;-1;220 м²;30 м²;+79856304679;Раменки;Воробьевское шоссе;4;Поклонная;Воробьёв Дом
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/308881406/;Москва;sale;flat;8;9;5;257.0;400000000;2021;-1;-1;-1;-1;200 м²;30 м²;+79854770886;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/307391050/;Москва;sale;flat;2;8;5;246.0;409000000;2009;-1;-1;-1;-1;110 м²;22 м²;+79031228639;Хамовники;переулок Хилков;1;Парк Культуры;Парк Палас
