author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300101711/;Москва;sale;flat;5;6;3;107.0;60000000;-1;-1;-1;-1;-1;67 м²;15 м²;+79670580817;Красносельский;Сретенский бульвар;6/1С2;Тургеневская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/296524128/;Москва;sale;flat;15;20;4;125.0;62000000;2024;-1;-1;-1;Без отделки;76,8 м²;22,2 м²;+79653037353;Раменки;Кинематографический кв-л;;Аминьевская;Событие ЖК
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/308140384/;Москва;sale;flat;5;7;3;86.2;64000000;1914;-1;-1;-1;-1;53 м²;15 м²;+79165289464;Басманный;Потаповский переулок;12;Китай-город;
RMRealty;real_estate_agent;https://www.cian.ru/sale/flat/307969359/;Москва;sale;flat;14;20;4;120.0;65000000;2021;-1;-1;-1;-1;-1;35 м²;+79852068469;Хорошево-Мневники; Паршина;10;Панфиловская;Серебряный парк
ID 438578;real_estate_agent;https://www.cian.ru/sale/flat/306236400/;Москва;sale;flat;9;17;3;95.0;65000000;2005;-1;-1;-1;-1;-1;18 м²;+79057177480;Раменки;Мичуринский проспект;5;Ломоносовский проспект;Квартал Шуваловский
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300657224/;Москва;sale;flat;5;12;4;120.0;65000000;2000;-1;-1;-1;-1;72 м²;43 м²;+79660472713;Таганский; Большие Каменщики;8;Таганская;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303088471/;Москва;sale;flat;7;12;3;95.0;95000000;-1;-1;-1;-1;-1;56 м²;12 м²;+79670580817;Пресненский;Большая Никитская ;37С1;Арбатская;
