author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/298822106/;Москва;sale;flat;15;25;3;125.0;62500000;2019;-1;-1;-1;-1;-1;15 м²;+79852921995;Аэропорт;Ленинградский проспект;36с36;Динамо;ВТБ Арена парк
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/303630214/;Москва;sale;flat;2;8;3;92.0;63400000;1964;-1;-1;-1;-1;-1;12 м²;+79645655396;Хамовники;переулок Сивцев Вражек;33;Смоленская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306765622/;Москва;sale;flat;12;15;3;100.0;65000000;-1;-1;-1;-1;-1;50 м²;10 м²;+79164691158;Даниловский;проспект Лихачева;18к6;Технопарк;Квартал на набережной NOW
