author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302309976/;Москва;sale;flat;5;12;3;84.1;52100000;2023;-1;-1;-1;-1;-1;-1;+79154100775;Сокол; Врубеля;4к1;Сокол;Врубеля 4
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306894226/;Москва;sale;flat;7;7;3;85.0;52000000;-1;-1;-1;-1;-1;47,6 м²;12,5 м²;+79660472713;Тверской;Цветной бульвар;25С1;Цветной бульвар;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/263705047/;Москва;sale;flat;7;14;4;190.5;56900000;2013;-1;-1;-1;-1;147 м²;15 м²;+79660617357;Кунцево;Молодогвардейская ;8к1;Кунцевская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/300943913/;Москва;sale;flat;20;36;4;123.0;59900000;2024;-1;-1;-1;Без отделки;76,8 м²;22,2 м²;+79653037353;Раменки; Василия Ланового;3;Аминьевская;Событие
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/308421617/;Москва;sale;flat;29;29;4;167.1;62500000;2008;-1;-1;-1;-1;99,3 м²;28,9 м²;+79153383587;Строгино; Маршала Катукова;24к5;Строгино;Янтарный город
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300191551/;Москва;sale;flat;5;23;3;98.3;65000000;2006;-1;-1;-1;-1;62 м²;10 м²;+79660560951;Щукино; Расплетина;22к2;Октябрьское поле;Северная Звезда
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304778243/;Москва;sale;flat;11;19;4;130.0;138700000;-1;-1;-1;-1;-1;74 м²;20 м²;+79164691158;Раменки;Ломоносовский проспект;25к3;Университет;Dominion
