author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 74438895;realtor;https://www.cian.ru/sale/flat/307668521/;Москва;sale;flat;8;29;3;80.7;25800550;2025;-1;-1;-1;Чистовая;-1;-1;+79850229651;Южнопортовый;Волгоградский проспект;32/3к4;Угрешская;Метрополия
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308556938/;Москва;sale;flat;2;24;3;60.1;25700000;2018;-1;-1;-1;-1;-1;16,4 м²;+79645659551;Хорошево-Мневники;проспект Маршала Жукова;37К2;Народное Ополчение;Wellton park
Макспол Парк Культуры;real_estate_agent;https://www.cian.ru/sale/flat/306562013/;Москва;sale;flat;8;22;3;73.3;26000000;2022;-1;-1;-1;-1;45 м²;13,1 м²;+79646327476;Покровское-Стрешнево;Волоколамское шоссе;71/22к1;Спартак;Апарт-комплекс Движение.Тушино
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/308273775/;Москва;sale;flat;8;30;3;79.3;29999000;-1;-1;-1;-1;-1;50,3 м²;24 м²;+79623693572;Западное Дегунино;Ильменский проезд;14к8;Селигерская;Селигер Сити
