author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Киноцентр;developer;https://www.cian.ru/sale/flat/307004353/;Москва;sale;flat;19;20;5;197.9;191963000;2024;-1;-1;-1;Предчистовая;-1;-1;+74951379204;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
AB Development;developer;https://www.cian.ru/sale/flat/285385736/;Москва;sale;flat;1;11;5;206.0;195994500;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;-1;-1;+74951387072;Раменки;Мосфильмовская ;1к10;Ломоносовский проспект;Вишневый сад
Capital Group;developer;https://www.cian.ru/sale/flat/294649478/;Москва;sale;flat;60;67;5;153.6;200133120;2023;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;125,6 м²;23 м²;+74951387140;Пресненский;Краснопресненская набережная;14Ак3;Москва-Сити;Capital Towers
Capital Group;developer;https://www.cian.ru/sale/flat/284503838/;Москва;sale;flat;59;67;5;197.2;199566400;2023;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;162,6 м²;29,6 м²;+74951387140;Пресненский;Краснопресненская набережная;14Ак3;Москва-Сити;Capital Towers
Sminex;developer;https://www.cian.ru/sale/flat/307188139/;Москва;sale;flat;6;10;5;212.4;202250000;2026;-1;Монолитный;-1;Без отделки;67,8 м²;52 м²;+74951375398;Пресненский;2-я Черногрязская ;;Улица 1905 года;Квартал LIFE TIME
MUST HAVE BURO;real_estate_agent;https://www.cian.ru/sale/flat/308341170/;Москва;sale;flat;4;6;5;184.4;205000000;1917;-1;-1;-1;-1;-1;13,4 м²;+79164298804;Тверской;Петровский бульвар;17/1;Пушкинская;
Киноцентр;developer;https://www.cian.ru/sale/flat/305452461/;Москва;sale;flat;19;20;5;266.9;264274800;2024;-1;-1;-1;Предчистовая;-1;-1;+74951379204;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
