author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/308905778/;Москва;sale;flat;6;6;5;130.0;85000000;-1;-1;-1;-1;-1;110 м²;15 м²;+79660615407;Мещанский;переулок Колокольников;6С1;Трубная;
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/304614166/;Москва;sale;flat;2;8;5;313.0;275900000;2001;-1;-1;-1;-1;190 м²;25 м²;+79165289464;Хамовники;7-й Ростовский переулок;11;Киевская;Дом в Ростовском переулке
Sminex;developer;https://www.cian.ru/sale/flat/308620192/;Москва;sale;flat;14;14;5;180.3;140940000;2023;-1;Монолитный;-1;Без отделки, чистовая;75 м²;46,9 м²;+74951375461;Раменки;проспект Генерала Дорохова;39к2Г;Ломоносовский проспект;Собрание клубных домов West Garden
Moscow Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307363113/;Москва;sale;flat;11;12;5;181.8;190000000;-1;-1;-1;-1;-1;121,9 м²;13,2 м²;+79660626269;Хамовники;переулок Хользунова;6;Фрунзенская;
