author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/308998353/;Москва;sale;flat;5;7;5;205.0;290970240;2017;-1;-1;-1;-1;150 м²;16 м²;+79162794727;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Аврора Проперти;real_estate_agent;https://www.cian.ru/sale/flat/300590864/;Москва;sale;flat;6;18;5;410.1;290000000;-1;-1;-1;-1;-1;-1;40,4 м²;+79652530061;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/297161817/;Москва;sale;flat;5;7;5;204.4;290970240;2016;-1;-1;-1;-1;130 м²;25 м²;+79855712717;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Eightmix Property;real_estate_agent;https://www.cian.ru/sale/flat/297535440/;Москва;sale;flat;60;75;5;230.0;289253198;2010;-1;-1;-1;-1;-1;-1;+79660272116;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
TOP BROKER estate;real_estate_agent;https://www.cian.ru/sale/flat/307127467/;Москва;sale;flat;62;65;5;320.0;290220600;2009;-1;-1;-1;-1;280 м²;-1;+79660629294;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/308986563/;Москва;sale;flat;16;17;5;310.0;329445000;2022;-1;-1;-1;-1;210 м²;45 м²;+79660625094;Пресненский;Звенигородское шоссе;11;Улица 1905 года;Дизайнерский дом Eleven
Престиж Group;real_estate_agent;https://www.cian.ru/sale/flat/302959073/;Москва;sale;flat;17;17;5;310.0;330000000;-1;-1;-1;-1;-1;-1;50 м²;+79629001247;Пресненский;Звенигородское шоссе;11;Улица 1905 года;Дизайнерский дом Eleven
