author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307823693/;Москва;sale;flat;11;15;4;103.7;50000000;1953;-1;-1;-1;-1;-1;-1;+79651509137;Замоскворечье;Валовая ;6;Павелецкая;
Sminex;developer;https://www.cian.ru/sale/flat/308620546/;Москва;sale;flat;11;27;4;125.08;79280000;2024;-1;Монолитный;-1;Без отделки;55,7 м²;24,2 м²;+74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/293030412/;Москва;sale;flat;3;9;4;225.7;169275000;2002;-1;-1;-1;-1;-1;-1;+79623620296;Арбат;Филипповский переулок;8С1;Кропоткинская;Филипповский
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297721781/;Москва;sale;flat;9;29;4;79.5;39900000;-1;-1;-1;-1;-1;48,5 м²;7,1 м²;+79104001266;Лефортово; Крузенштерна;10к1;Авиамоторная;Символ
FORMA;developer;https://www.cian.ru/sale/flat/301782170/;Москва;sale;flat;21;26;4;126.55;103631795;2025;-1;Монолитный;-1;Без отделки, предчистовая;62,3 м²;-1;+74951370018;Пресненский;к2.1;к2.1;Белорусская;Репаблик ЖК
Sminex;developer;https://www.cian.ru/sale/flat/306685259/;Москва;sale;flat;2;22;4;149.2;129650000;2026;-1;Монолитный;-1;Без отделки;64,5 м²;33,4 м²;+74951375398;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/270731248/;Москва;sale;flat;24;44;4;200.5;160000000;2017;-1;-1;-1;-1;-1;-1;+79154194125;Раменки;Минская ;2;Минская;Долина Сетунь
