author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297727468/;Москва;sale;flat;7;20;4;177.8;77000000;2005;-1;-1;-1;-1;98 м²;17 м²;+79645890434;Черемушки;Новочеремушкинская ;44К3;Профсоюзная;Адмирал
ID 9216616;homeowner;https://www.cian.ru/sale/flat/308180856/;Москва;sale;flat;3;23;4;132.0;78000000;2008;-1;-1;-1;-1;79,1 м²;20 м²;+79151198152;Раменки;Мичуринский проспект;34;Раменки;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306945676/;Москва;sale;flat;4;20;3;80.0;82000000;Напишите автору;-1;-1;-1;-1;44 м²;11 м²;+79653071673;Пресненский;Мантулинская ;9к2;Деловой центр;City Park
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308672658/;Москва;sale;flat;18;18;4;187.4;99900000;2005;-1;-1;-1;-1;107 м²;20 м²;+79099319939;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/306153781/;Москва;sale;flat;9;9;3;101.0;103000000;-1;-1;-1;-1;-1;84 м²;12 м²;+79660615407;Можайский; Вересаева;9;Давыдково;Аристократ
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/308762640/;Москва;sale;flat;21;43;3;82.6;42950000;2022;-1;-1;-1;-1;55,6 м²;22 м²;+79651079355;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
